date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,split
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424,0.2309905105
1/1/2015,Quarter1,sweing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478,0.08961075504
1/1/2015,Quarter1,sweing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531,-0.3432372228
1/1/2015,Quarter1,sweing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826,0.2701862176
1/1/2015,Quarter1,sweing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0.721126957,-0.03636563251
1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247,-0.322635283
1/1/2015,Quarter1,sweing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0.707045902,-0.2203636037
1/1/2015,Quarter1,finishing,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0.705916667,-1.073404425
1/1/2015,Quarter1,finishing,Thursday,4,0.75,3.94,,2160,0,0,0,0,18,0.593055556,-1.345831334
1/1/2015,Quarter1,finishing,Thursday,7,0.8,2.9,,960,0,0,0,0,8,0.540729167,1.377344567
1/1/2015,Quarter1,sweing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0.52118,0.4875506551
1/3/2015,Quarter1,finishing,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,0.988024691,0.2212833451
1/3/2015,Quarter1,finishing,Saturday,11,0.75,2.9,,5640,0,0,0,0,17,0.987880435,-2.581334729
1/3/2015,Quarter1,finishing,Saturday,9,0.8,4.15,,960,0,0,0,0,8,0.956270833,1.979433882
1/3/2015,Quarter1,finishing,Saturday,3,0.75,3.94,,1560,0,0,0,0,8,0.945277778,0.5521183013
1/3/2015,Quarter1,finishing,Saturday,1,0.8,3.94,,960,0,0,0,0,8,0.902916667,-0.1124847211
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314,-0.7586890601
1/3/2015,Quarter1,sweing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644,-0.4430937292
1/3/2015,Quarter1,sweing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644,0.722410378
